,,,,,,,,,,,,,,,,,,,,
,Tabla de conversiones,,,Bachelors,,,,,,,,,,,,,,,,
,España,Schiller International University,Business,Bachelor of Science in Business Analytics,"Big Data, Anali­tica",Madrid,"Feb., Sept.",4 Años,15400,EUR,https://www.schiller.edu/programs/bachelor-of-science-in-business-analytics,,,,,,,,,
,Francia,Schiller International University,Business,Bachelor of Science in Business Analytics,"Big Data, Anali­tica",Pari­s,"Feb., Sept.",4 Años,15400,EUR,https://www.schiller.edu/programs/bachelor-of-science-in-business-analytics,,,,,,,,,
,Estados Unidos,Academy of Art University,Arts,Bachelor of Fine Arts (BFA) in Animation & Visual Effects,Animation & Visual Effects,San Francisco,"Febrero, Junio, Septiembre",4 años,"$35,112",USD,https://www.academyart.edu/art-degree/animation-visual-effects/,,,,,,,,,
,Australia,Deakin University,Arts,Bachelor of Design (Architecture),Architecture,"
Waterfront (Geelong)
","Trimester 1 - March
Trimester 2 - July",3 year full time," $ 40.800,00 ",AUD,https://www.deakin.edu.au/course/bachelor-design-architecture-international,,,,,,,,,
,Australia,The University of Western Australia,Arts,Bachelor of Environmental Design,Architecture & Design,Perth (Crawley campus),"Februrary, July",3 years full-time," $ 44,80 ",AUD,https://www.uwa.edu.au/study/courses/architecture,,,,,,,,,
,Reino Unido,Queen's University Belfast,Arts,BSc Architecture,Architecture,Belfast,Septiembre,3 años,20800,GBP,https://www.qub.ac.uk/courses/undergraduate/architecture-bsc-k100/,GSP,,,,,,,,
,Reino Unido,University of Glasgow,Arts,BSc/MSc Architecture,Architecture,Glasgow,Septiembre,5 años,26300,GBP,https://www.gla.ac.uk/undergraduate/degrees/architecture/,GSP,,,,,,,,
,Reino Unido,University of Reading,Arts,BSc Architecture,Architecture,Reading,Septiembre,3 años,29950,GBP,https://www.reading.ac.uk/ready-to-study/study/subject-area/architecture-ug/bsc-architecture,GSP,,,,,,,,
,Reino Unido,University of Huddersfield,Arts,BA Architecture,Architecture,Huddersfield,Septiembre,3 años,17000,GBP,https://courses.hud.ac.uk/full-time/undergraduate/architecture-ba-hons,GSP,,,,,,,,
,Estados Unidos,Academy of Art University,Arts,Bachelor of Architecture (B.Arch),"Architecture, IPAL opcional",San Francisco,"Intersession, Primavera, Verano, Otoño (aplican varias, revisar convocatoria)",5 años,"$35,112",USD,https://www.academyart.edu/art-degree/architecture-b-arch/,GSP,,,,,,,,
