Course Name,University Name,Domain,Credential Level,Fees,Minimum Requirements,Intakes Duration,Link
Bachelor of Child Development,Istanbul Bilgi University,Life Sciences and Medicine,Bachelor's Degree,6950.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Nursing,Istanbul Bilgi University,Healthcare,Bachelor's Degree,6950.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Nutrition and Dietetics,Istanbul Bilgi University,Nutrition and Dietetics,Bachelor's Degree,6950.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Textile and Fashion Design,Istanbul Bilgi University,Fashion Design / Management,Bachelor's Degree,6950.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Logistic Management,Istanbul Bilgi University,Business Administration and Management,Bachelor's Degree,6950.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Law,Istanbul Bilgi University,"Law (LLB, LLM, JD and interdisciplinary)",Bachelor's Degree,6950.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Management Information System,Istanbul Bilgi University,Business Administration and Management,Bachelor's Degree,6950.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Arts Management,Istanbul Bilgi University,"Art History, Architecture and Creativity Design",Bachelor's Degree,8100.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Performing Arts Management,Istanbul Bilgi University,"Entertainment, Music/Dance/Performing Arts",Bachelor's Degree,6950.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of TV Reporting and Programming,Istanbul Bilgi University,"Film, Media and Television",Bachelor's Degree,6950.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Economics,Istanbul Bilgi University,Economics,Bachelor's Degree,6950.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of International Finance,Istanbul Bilgi University,"Finance, Banking and FinTech",Bachelor's Degree,11880.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Pharmacy (Turkish),Istinye University - Istanbul,Pharmacy,Bachelor's Degree,11900.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Medicine (Turkish),Istinye University - Istanbul,Medicine,Bachelor's Degree,19500.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Medicine (English),Istinye University - Istanbul,Medicine,Bachelor's Degree,23760.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Physiotherapy and Rehabilitation (English),Istinye University - Istanbul,"Mental Health, Psychological Therapy",Bachelor's Degree,6500.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
