pais,institucion,area,programa,ubicacion,fechas,duracion,costo,moneda,link
Australia,Curtin University,Business,Predictive Analytics,Curtin Perth,"February, July",2 years full time,18081.0,AUD,https://www.curtin.edu.au/study/offering/course-pg-master-of-predictive-analytics--mc-predan/
Australia,Curtin University,Business,Global Engagement (Advanced),Curtin Perth,"February, July",2 years full time,16558.0,AUD,https://www.curtin.edu.au/study/offering/course-pg-master-of-global-engagement-advanced--mc-globl2/
Australia,Curtin University,Business,Master of Professional Accounting,Curtin Perth,"February, July",2 years full time,16704.0,AUD,https://www.curtin.edu.au/study/offering/course-pg-master-of-professional-accounting--mc-prfacc/
Australia,Curtin University,Business,Master of Accounting,Curtin Perth,"February, July",1 years full time,16704.0,AUD,https://www.curtin.edu.au/study/offering/course-pg-master-of-accounting--mc-accntg/
Australia,Curtin University,Business,Corporate Governance and Leadership,Curtin Perth,"February, July",1 years full time,15759.0,AUD,https://www.curtin.edu.au/study/offering/course-pg-master-of-corporate-governance-and-leadership--mc-govl/
Australia,Curtin University,Business,Actuarial and Financial Science,Curtin Perth,"February, July",1.5 years full time,16179.0,AUD,https://www.curtin.edu.au/study/offering/course-pg-master-of-science-actuarial-and-financial-science--mc-actfns/
Australia,Curtin University,Business,Master of Multimedia Journalism,Curtin Perth,"February, July",1.5 years full time,15682.0,AUD,https://www.curtin.edu.au/study/offering/course-pg-master-of-multimedia-journalism--mc-mmjrn/
Australia,Curtin University,Business,Digital and Social Media,Curtin Perth,"February, July",1.5 years full time,15286.0,AUD,https://www.curtin.edu.au/study/offering/course-pg-master-of-digital-and-social-media--mc-netscm/
Australia,Curtin University,Business,Business Administration (Advanced),Curtin Perth,"February, July",2 years full time,18869.0,AUD,https://www.curtin.edu.au/study/offering/course-pg-master-of-business-administration-advanced--mc-mbaadv/
Australia,Curtin University,Business,Design,Curtin Perth,"February, July",2 years full time,15383.0,AUD,https://www.curtin.edu.au/study/offering/course-pg-master-of-design--mc-design/
Australia,Curtin University,Business,International Relations and National Security,Curtin Perth,"February, July","1,5 years full time",33411.0,AUD,https://www.curtin.edu.au/study/offering/course-pg-master-of-international-relations-and-national-security--mc-intrns/
Australia,Curtin University,Business,Taxation,Curtin Perth,"February, July",1 years full time,15759.0,AUD,https://www.curtin.edu.au/study/offering/course-pg-master-of-taxation--mc-taxat/
Australia,Curtin University,Business,Master of Arts,Curtin Perth,"February, July",2 years full time,16143.0,AUD,https://www.curtin.edu.au/study/offering/course-pg-master-of-arts--mc-arts/
Australia,Curtin University,Business,Commerce,Curtin Perth,"February, July",2 years full time,17335.0,AUD,https://www.curtin.edu.au/study/offering/course-pg-master-of-commerce--mc-comm/
Ireland,National College of Ireland,Business,MA in Human Resource Management,Dublin,"January, September",1 year full time,8300.0,EUR,https://www.ncirl.ie/Courses/NCI-Course-Details/course/MAHRMD
Alemania,Berlin School of Business and Innovation,Business,MSc Global Human Resources Management,Berlin,"May, October","1,5 years full time",13920.0,EUR,https://www.berlinsbi.com/programmes/postgraduate/msc-global-human-resources-management
Alemania,Berlin School of Business and Innovation,Business,MSc Global Logistics and Supply Chain Management,Berlin,"May, October","1,5 years full time",13920.0,EUR,https://www.berlinsbi.com/programmes/postgraduate/msc-global-logistics-and-supply-chain-management
Alemania,Berlin School of Business and Innovation,Business,MSc Project Management,Berlin,"May, October","1,5 years full time",13920.0,EUR,https://www.berlinsbi.com/programmes/postgraduate/msc-project-management
Alemania,Berlin School of Business and Innovation,Business,MA User Experience Design,Hamburg,"May, October","1,5 years full time",13920.0,EUR,https://www.berlinsbi.com/programmes/postgraduate/ma-user-experience-design
Alemania,Berlin School of Business and Innovation,Business,MA Photography,Hamburg,"May, October","1,5 years full time",13920.0,EUR,https://www.berlinsbi.com/programmes/postgraduate/ma-photography
Alemania,Berlin School of Business and Innovation,Business,MA Game Design,Hamburg,"May, October","1,5 years full time",13920.0,EUR,https://www.berlinsbi.com/programmes/postgraduate/ma-game-design
Alemania,Berlin School of Business and Innovation,Business,MSc in Sports Management (UCA),Berlin,"May, October","1,5 years full time",13920.0,EUR,https://www.berlinsbi.com/programmes/postgraduate/msc-in-sports-management
Alemania,Berlin School of Business and Innovation,Business,MSc Artificial Intelligence (UCA),Berlin,"May, October","1,5 years full time",13920.0,EUR,https://www.berlinsbi.com/programmes/postgraduate/msc-artificial-intelligence
Alemania,Berlin School of Business and Innovation,Business,MSc in Real Estate and Asset Management (UCA),Berlin,"May, October","1,5 years full time",13920.0,EUR,https://www.berlinsbi.com/programmes/postgraduate/msc-in-real-estate-and-asset-management
Alemania,Berlin School of Business and Innovation,Business,MSc in International Health Management (UNINETTUNO),Berlin,"February, May, October","1,5 years full time",13920.0,EUR,https://www.berlinsbi.com/programmes/postgraduate/msc-in-international-health-management
Alemania,Berlin School of Business and Innovation,Business,MA in Finance and Investments (UNINETTUNO),Barcelona,November,"1,5 years full time",13920.0,EUR,https://www.berlinsbi.com/programmes/postgraduate/ma-in-finance-and-investments-uninettuno
Alemania,Berlin School of Business and Innovation,Business,MBA (CUC),Berlin,"January, March, May, August, October",",5 years full time",9000.0,EUR,https://www.berlinsbi.com/programmes/postgraduate/mba
Alemania,Berlin School of Business and Innovation,Business,MSc Digital Marketing (UCA),"Berlin
Paris","February,  October
November","1,5 years full time",13920.0,EUR,https://www.berlinsbi.com/programmes/postgraduate/msc-digital-marketing
Alemania,Berlin School of Business and Innovation,Business,MA in Energy Management (UNINETTUNO),Berlin,"May, October","1,5 years full time",13920.0,EUR,https://www.berlinsbi.com/programmes/postgraduate/ma-in-energy-management
Alemania,Berlin School of Business and Innovation,Business,MA in Innovation and Entrepreneurship (CUC),Berlin,"March, May, October","1,5 years full time",15000.0,EUR,https://www.berlinsbi.com/programmes/postgraduate/ma-in-innovation-and-entrepreneurship
Alemania,Berlin School of Business and Innovation,Business,"MA Tourism, Hospitality and Event Management (UCA)","Berlin
Paris","February,  May, July, October
March, June, November","1,5 years full time",13920.0,EUR,https://www.berlinsbi.com/programmes/postgraduate/ma-tourism-hospitality-and-event-management
Alemania,Berlin School of Business and Innovation,Business,Global MBA (UCA),"Berlin
Paris","February,  May, July, October
March, June, November","1,5 years full time",14850.0,EUR,https://www.berlinsbi.com/programmes/postgraduate/global-mba-uca
